안건ID,제목,종류,발의일,발의자,상태
2217592,조세특례제한법 일부개정법률안(대안),법안,,,
2217591,경제안보를 위한 공급망 안정화 지원 기본법 일부개정법률안(대안),법안,,,
2217589,국민체육진흥법 일부개정법률안(대안),법안,,,
2217404,체육인 복지법 일부개정법률안(대안),법안,,,
2217403,저작권법 일부개정법률안(대안),법안,,,
2217402,도서관법 일부개정법률안(대안),법안,,,
2217401,관광진흥법 일부개정법률안(대안),법안,,,
2217400,관광기본법 일부개정법률안(대안),법안,,,
2217398,정보통신공사업법 일부개정법률안(대안),법안,,,
2217397,전파법 일부개정법률안(대안),법안,,,
2217396,전기통신사업법 일부개정법률안(대안),법안,,,
2217395,별정우체국법 일부개정법률안(대안),법안,,,
2217394,방송법 일부개정법률안(대안),법안,,,
2217393,인터넷 멀티미디어 방송사업법 일부개정법률안,법안,,,
2217392,신용협동조합법 일부개정법률안(대안),법안,,,
2216964,산업안전보건법 일부개정법률안(대안),법안,,,
2216963,환경오염시설의 통합관리에 관한 법률 일부개정법률안(대안),법안,,,
2216960,산업재해보상보험법 일부개정법률안(대안),법안,,,
2216793,폐기물관리법 일부개정법률안(대안),법안,,,
2216791,대기환경보전법 일부개정법률안(대안),법안,,,
2216781,도시 및 주거환경정비법 일부개정법률안(대안),법안,,,
2216778,지역농산물 이용촉진 등 농산물 직거래 활성화에 관한 법률 일부개정법률안(대안),법안,,,
2216777,양식산업발전법 일부개정법률안(대안),법안,,,
2216775,소상공인의 일시적 등록기준 미달 시 제재처분 유예를 위한 목재의 지속가능한 이용에 관한 법률 등 4개 법률의 일부개정에 관한 법률안(대안),법안,,,
2216771,농수산물의 원산지 표시 등에 관한 법률 일부개정법률안(대안),법안,,,
2216763,한복문화산업 진흥법안(대안),법안,,,
2216762,스포츠산업 진흥법 일부개정법률안(대안),법안,,,
2216761,국어기본법 일부개정법률안(대안),법안,,,
2216296,농어촌특별세법 일부개정법률안,법안,,,
2215442,방송법 일부개정법률안(대안),법안,,,
2215441,방송미디어통신위원회의 설치 및 운영에 관한 법률 일부개정법률안(대안),법안,,,
2215405,기계설비법 일부개정법률안(대안),법안,,,
2215109,식품위생법 일부개정법률안(대안),법안,,,
2214934,고위공직자범죄수사처 설치 및 운영에 관한 법률 일부개정법률안(대안),법안,,,
2214884,지방자치법 일부개정법률안(대안),법안,,,
2214880,지방자치단체 기금관리기본법 일부개정법률안(대안),법안,,,
2214855,지방공무원법 일부개정법률안(대안),법안,,,
2214853,공직선거법 일부개정법률안(대안),법안,,,
2214811,예술인 복지법 일부개정법률안,법안,,,
2214611,마약류 관리에 관한 법률 일부개정법률안,법안,,,
2214609,약사법 일부개정법률안(대안),법안,,,
2214506,국가유산기본법 일부개정법률안,법안,,,
2214009,국제문화행사 지원에 관한 법률안,법안,,,
2213457,양자과학기술 및 양자산업 육성에 관한 법률 일부개정법률안,법안,,,
2213066,체육시설의 설치·이용에 관한 법률 일부개정법률안,법안,,,
2213004,자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,법안,,,
2212717,부동산 거래신고 등에 관한 법률 일부개정법률안,법안,,,
2212691,공연법 일부개정법률안,법안,,,
2212493,대통령기록물 관리에 관한 법률 일부개정법률안,법안,,,
2212028,목재의 지속가능한 이용에 관한 법률 일부개정법률안,법안,,,
2211688,6·25전쟁 무공훈장 수여 등에 관한 법률 일부개정법률안,법안,,,
2211608,우주개발 진흥법 일부개정법률안,법안,,,
2211101,이스포츠(전자스포츠) 진흥에 관한 법률 일부개정법률안,법안,,,
2210772,한식진흥법 일부개정법률안,법안,,,
2210709,체육시설의 설치·이용에 관한 법률 일부개정법률안,법안,,,
2210374,공직선거법 일부개정법률안,법안,,,
2210333,형사소송법 일부개정법률안,법안,,,
2210118,매장유산 보호 및 조사에 관한 법률 일부개정법률안,법안,,,
2209858,울산과학기술원법 일부개정법률안,법안,,,
2209850,대구경북과학기술원법 일부개정법률안,법안,,,
2209847,한국과학기술원법 일부개정법률안,법안,,,
2209846,광주과학기술원법 일부개정법률안,법안,,,
2209676,헌법재판소법 일부개정법률안(대안),법안,,,
2209297,과학기술기본법 일부개정법률안,법안,,,
2208967,여성과학기술인 육성 및 지원에 관한 법률 일부개정법률안,법안,,,
2208831,선거관리위원회법 일부개정법률안,법안,,,
2208212,정보통신 진흥 및 융합 활성화 등에 관한 특별법 일부개정법률안,법안,,,
2208115,대체역의 편입 및 복무 등에 관한 법률 일부개정법률안,법안,,,
2208001,역사문화권 정비 등에 관한 특별법 일부개정법률안,법안,,,
2207172,국가공무원법 일부개정법률안,법안,,,
2206640,식품위생법 일부개정법률안,법안,,,
2206566,제대군인지원에 관한 법률 일부개정법률안,법안,,,
2206165,화장품법 일부개정법률안,법안,,,
2203490,긴급조치 피해자 민사재심 등에 관한 특별법안,법안,,,
2203093,문화산업진흥 기본법 일부개정법률안,법안,,,
2201362,반도체산업 생태계 강화 및 지원을 위한 특별조치법안,법안,,,
