신호ID,주간,이슈,타깃,종합점수,현저성,압력,확산
21444,2025-W39,금융,금융감독원,0.475,1.00,1.00,0.00
19787,2024-W27,법과질서,검찰,0.428,1.00,0.83,0.46
19874,2024-W30,문화/여가,방송통신위원회,0.424,1.00,1.00,0.16
21247,2025-W34,문화/여가,방송통신위원회,0.417,1.00,0.79,0.46
21014,2025-W18,환경,환경부,0.411,0.91,1.00,0.16
21955,2026-W09,금융,이재명,0.400,1.00,1.00,0.00
21831,2025-W52,법과질서,정청래,0.400,1.00,1.00,0.00
21770,2025-W50,교육,추미애,0.400,1.00,1.00,0.00
21759,2025-W50,법과질서,전직,0.400,1.00,1.00,0.00
21746,2025-W50,법과질서,윤석열,0.400,1.00,1.00,0.00
21735,2025-W49,금융,금융감독원,0.400,1.00,1.00,0.00
21728,2025-W49,법과질서,윤재옥,0.400,1.00,1.00,0.00
21705,2025-W48,교통,국토부,0.400,1.00,1.00,0.00
21631,2025-W46,법과질서,대해서,0.400,1.00,1.00,0.00
21478,2025-W39,법과질서,방통,0.400,1.00,1.00,0.00
21457,2025-W39,법과질서,이재명,0.400,1.00,1.00,0.00
21447,2025-W39,국방,하는,0.400,1.00,1.00,0.00
21410,2025-W38,복지,국무,0.400,1.00,1.00,0.00
21112,2025-W29,법과질서,행안부,0.400,1.00,1.00,0.00
20878,2025-W11,정부운영,감사원,0.400,1.00,1.00,0.00
20637,2024-W52,국방,유상임,0.400,1.00,1.00,0.00
20609,2024-W52,과학기술,유상임,0.400,1.00,1.00,0.00
20515,2024-W50,국방,국민을,0.400,1.00,1.00,0.00
20331,2024-W45,법과질서,감사원,0.400,1.00,1.00,0.00
20235,2024-W37,법과질서,류희림,0.400,1.00,1.00,0.00
20232,2024-W37,에너지,산자부,0.400,1.00,1.00,0.00
20216,2024-W37,외교,기시다,0.400,1.00,1.00,0.00
19953,2024-W30,정부운영,이재명,0.400,1.00,1.00,0.00
19935,2024-W30,정부운영,윤석열,0.400,1.00,1.00,0.00
19927,2024-W30,외교,윤석열,0.400,1.00,1.00,0.00
21959,2026-W09,국방,이재명,0.400,1.00,1.00,0.00
21331,2025-W36,법과질서,법무부,0.393,0.96,0.82,0.29
20520,2024-W50,법과질서,하는,0.389,0.92,1.00,0.00
20106,2024-W35,교육,저희가,0.389,0.92,1.00,0.00
20012,2024-W31,보건의료,정청래,0.389,0.92,1.00,0.00
19918,2024-W30,문화/여가,있는,0.389,0.92,1.00,0.00
20454,2024-W48,교육,교육부,0.382,0.88,1.00,0.00
20343,2024-W45,법과질서,정청래,0.380,0.87,1.00,0.00
19896,2024-W30,법과질서,윤석열,0.378,1.00,0.56,0.58
21615,2025-W46,법과질서,때문에,0.378,0.85,1.00,0.00
21584,2025-W45,주거,금융,0.378,0.85,1.00,0.00
21445,2025-W39,교통,이진숙,0.378,0.85,1.00,0.00
21134,2025-W29,외교,이재명,0.378,0.85,1.00,0.00
21033,2025-W18,무역,국무,0.378,0.85,1.00,0.00
20884,2025-W11,정부운영,천대엽,0.378,0.85,1.00,0.00
20862,2025-W10,법과질서,방송통신,0.378,0.85,1.00,0.00
20676,2025-W02,법과질서,정청래,0.378,0.85,1.00,0.00
20450,2024-W48,법과질서,국민의,0.378,0.85,1.00,0.00
20163,2024-W36,법과질서,전직,0.378,0.85,1.00,0.00
20019,2024-W32,법과질서,관련해서,0.378,0.85,1.00,0.00
19961,2024-W30,국방,원내,0.378,0.85,1.00,0.00
19907,2024-W30,국방,윤종오,0.378,0.85,1.00,0.00
19873,2024-W30,국방,김현,0.378,0.85,1.00,0.00
21261,2025-W34,법과질서,윤석열,0.377,0.84,1.00,0.00
20553,2024-W50,국방,그러면,0.377,0.84,1.00,0.00
20131,2024-W36,교통,국무,0.377,0.84,1.00,0.00
20715,2025-W04,복지,보건복지부,0.375,0.84,1.00,0.00
20017,2024-W32,국방,대해서,0.374,0.82,1.00,0.00
21691,2025-W48,외교,외교부,0.373,0.82,1.00,0.00
19789,2024-W27,법과질서,이재명,0.371,0.94,0.92,0.00
21271,2025-W34,법과질서,방통,0.369,0.79,1.00,0.00
21513,2025-W39,보건의료,이재명,0.369,1.00,0.88,0.00
21028,2025-W18,과학기술,과학기술정보통신부,0.368,0.50,1.00,0.29
20487,2024-W49,국방,윤석열,0.367,1.00,0.87,0.00
20022,2024-W33,외교,외교부,0.367,1.00,0.27,1.00
20600,2024-W52,국방,국무,0.366,0.77,1.00,0.00
21327,2025-W36,문화/여가,방송통신,0.365,0.77,1.00,0.00
20734,2025-W04,법과질서,법무부,0.365,0.76,1.00,0.00
21962,2026-W09,법과질서,민주당,0.364,1.00,0.86,0.00
21467,2025-W39,무역,이재명,0.364,1.00,0.86,0.00
20797,2025-W08,보건의료,보건복지부,0.363,0.59,1.00,0.16
19929,2024-W30,문화/여가,문화체육관광부,0.359,0.22,1.00,0.00
21325,2025-W36,금융,금융,0.358,1.00,0.83,0.00
20079,2024-W35,교육,교육부,0.356,1.00,0.70,0.21
20321,2024-W45,복지,보건복지부,0.354,0.70,1.00,0.00
21470,2025-W39,법과질서,국무,0.353,0.68,1.00,0.00
20541,2024-W50,문화/여가,방송통신위원회,0.352,0.68,1.00,0.00
21967,2026-W09,법과질서,윤석열,0.351,0.67,1.00,0.00
21611,2025-W46,문화/여가,그리고,0.351,0.67,1.00,0.00
21449,2025-W39,법과질서,곽규택,0.351,0.67,1.00,0.00
21277,2025-W34,정부운영,방심,0.351,0.67,1.00,0.00
21034,2025-W18,문화/여가,방송통신위원회,0.351,0.68,1.00,0.00
20842,2025-W09,정부운영,이수진,0.351,0.67,1.00,0.00
20757,2025-W07,보건의료,유상범,0.351,0.67,1.00,0.00
20545,2024-W50,국방,보면,0.351,0.67,1.00,0.00
20361,2024-W46,정부운영,윤석열,0.351,0.67,1.00,0.00
20048,2024-W34,교통,국토부,0.351,0.67,1.00,0.00
19912,2024-W30,국방,당시,0.351,0.67,1.00,0.00
19781,2024-W26,국방,방통,0.351,0.67,1.00,0.00
21101,2025-W28,법과질서,경찰청,0.350,0.67,1.00,0.00
21498,2025-W39,법과질서,국민의힘,0.350,1.00,0.80,0.00
20777,2025-W08,노동/고용,김문수,0.350,1.00,0.80,0.00
20638,2024-W52,국방,경제부,0.350,1.00,0.80,0.00
21818,2025-W51,토지/수자원,국무,0.348,0.65,1.00,0.00
20534,2024-W50,국방,기재부,0.348,0.65,1.00,0.00
20260,2024-W39,토지/수자원,진현환,0.348,0.65,1.00,0.00
20259,2024-W39,교통,진현환,0.348,0.65,1.00,0.00
21819,2025-W51,교통,김은혜,0.347,0.65,1.00,0.00
21780,2025-W50,국방,그리고,0.347,0.65,1.00,0.00
21397,2025-W37,법과질서,민주당,0.347,0.65,1.00,0.00
